time_ns,n,algo,dist,comparisons,moves,reads,writes,allocs,notes
990700,100,insertionsort,random,597,2363,3059,2455,0,trial=1
98100,100,insertionsort,random,620,2393,3112,2490,0,trial=2
227800,100,insertionsort,random,608,2688,3395,2783,0,trial=3
5171800,1000,insertionsort,random,9537,249133,259669,250121,0,trial=1
2349600,1000,insertionsort,random,9541,249164,259704,250156,0,trial=2
10557100,1000,insertionsort,random,9565,241221,251785,242215,0,trial=3
31317400,10000,insertionsort,random,128852,24912188,25051039,24922177,0,trial=1
19115600,10000,insertionsort,random,128928,25257329,25396256,25267321,0,trial=2
18563500,10000,insertionsort,random,128927,24966241,25105167,24976230,0,trial=3
1862945300,100000,insertionsort,random,1622311,2496181161,2497903471,2496281149,0,trial=1
2344666000,100000,insertionsort,random,1622707,2503187527,2504910233,2503287512,0,trial=2
1914521500,100000,insertionsort,random,1622516,2494278195,2496000710,2494378183,0,trial=3
700,100,insertionsort,sorted,99,0,198,0,0,trial=1
600,100,insertionsort,sorted,99,0,198,0,0,trial=2
600,100,insertionsort,sorted,99,0,198,0,0,trial=3
2500,1000,insertionsort,sorted,999,0,1998,0,0,trial=1
2600,1000,insertionsort,sorted,999,0,1998,0,0,trial=2
2500,1000,insertionsort,sorted,999,0,1998,0,0,trial=3
18700,10000,insertionsort,sorted,9999,0,19998,0,0,trial=1
19200,10000,insertionsort,sorted,9999,0,19998,0,0,trial=2
18800,10000,insertionsort,sorted,9999,0,19998,0,0,trial=3
180700,100000,insertionsort,sorted,99999,0,199998,0,0,trial=1
183500,100000,insertionsort,sorted,99999,0,199998,0,0,trial=2
184100,100000,insertionsort,sorted,99999,0,199998,0,0,trial=3
5700,100,insertionsort,reversed,579,4950,5628,5049,0,trial=1
5400,100,insertionsort,reversed,579,4950,5628,5049,0,trial=2
5500,100,insertionsort,reversed,579,4950,5628,5049,0,trial=3
378300,1000,insertionsort,reversed,8986,499500,509485,500499,0,trial=1
440400,1000,insertionsort,reversed,8986,499500,509485,500499,0,trial=2
377700,1000,insertionsort,reversed,8986,499500,509485,500499,0,trial=3
37422600,10000,insertionsort,reversed,123630,49995000,50128629,50004999,0,trial=1
35197100,10000,insertionsort,reversed,123630,49995000,50128629,50004999,0,trial=2
35116100,10000,insertionsort,reversed,123630,49995000,50128629,50004999,0,trial=3
3553060100,100000,insertionsort,reversed,1568945,4999950000,5001618944,5000049999,0,trial=1
4742765500,100000,insertionsort,reversed,1568945,4999950000,5001618944,5000049999,0,trial=2
3748124200,100000,insertionsort,reversed,1568945,4999950000,5001618944,5000049999,0,trial=3
9400,100,insertionsort,nearly,561,628,1288,711,0,trial=1
6000,100,insertionsort,nearly,561,490,1150,577,0,trial=2
5800,100,insertionsort,nearly,589,762,1450,847,0,trial=3
69700,1000,insertionsort,nearly,9599,64033,74631,65028,0,trial=1
63700,1000,insertionsort,nearly,9536,58500,69035,59490,0,trial=2
269400,1000,insertionsort,nearly,9544,63422,73965,64410,0,trial=3
6703200,10000,insertionsort,nearly,128975,5904784,6043758,5914769,0,trial=1
5727700,10000,insertionsort,nearly,128963,5996554,6135516,6006546,0,trial=2
4394900,10000,insertionsort,nearly,128922,5856118,5995039,5866105,0,trial=3
416183000,100000,insertionsort,nearly,1622568,579053418,580775985,579153400,0,trial=1
405542300,100000,insertionsort,nearly,1623168,571189754,572912921,571289744,0,trial=2
412879400,100000,insertionsort,nearly,1622151,585810530,587532680,585910520,0,trial=3
